dataset,mode,num_leaves,n_estimators,precision,recall,f1_score
NF-ToN-IoT-v2,integer,512,5,0.981044,0.998307,0.989600
NF-ToN-IoT-v2,integer,512,9,0.983636,0.997687,0.990611
NF-ToN-IoT-v2,integer,512,13,0.984708,0.997391,0.991009
NF-ToN-IoT-v2,integer,1024,5,0.983980,0.998488,0.991181
NF-ToN-IoT-v2,integer,1024,9,0.986167,0.997885,0.991991
NF-ToN-IoT-v2,integer,1024,13,0.986710,0.997798,0.992223
NF-ToN-IoT-v2,integer,2048,5,0.984703,0.998752,0.991678
NF-ToN-IoT-v2,integer,2048,9,0.986680,0.998217,0.992415
NF-ToN-IoT-v2,integer,2048,13,0.987319,0.997977,0.992619
NF-UNSW-NB15-v2,float,32,5,0.999110,0.873628,0.932163
NF-UNSW-NB15-v2,float,32,9,0.998373,0.968583,0.983252
NF-UNSW-NB15-v2,float,32,13,0.998185,0.974691,0.986298
NF-UNSW-NB15-v2,float,64,5,0.999181,0.890598,0.941768
NF-UNSW-NB15-v2,float,64,9,0.998548,0.966432,0.982227
NF-UNSW-NB15-v2,float,64,13,0.998419,0.971163,0.984602
NF-UNSW-NB15-v2,float,128,5,0.999232,0.892811,0.943027
NF-UNSW-NB15-v2,float,128,9,0.998707,0.961167,0.979577
NF-UNSW-NB15-v2,float,128,13,0.998595,0.968237,0.983181
NF-UNSW-NB15-v2,float,256,5,0.999213,0.911701,0.953452
NF-UNSW-NB15-v2,float,256,9,0.998817,0.958241,0.978108
NF-UNSW-NB15-v2,float,256,13,0.998677,0.966986,0.982576
NF-UNSW-NB15-v2,float,512,5,0.999246,0.900422,0.947262
NF-UNSW-NB15-v2,float,512,9,0.998900,0.954256,0.976067
NF-UNSW-NB15-v2,float,512,13,0.998688,0.966748,0.982458
NF-UNSW-NB15-v2,float,1024,5,0.999312,0.869766,0.930047
NF-UNSW-NB15-v2,float,1024,9,0.998928,0.953971,0.975931
NF-UNSW-NB15-v2,float,1024,13,0.998738,0.966293,0.982247
NF-UNSW-NB15-v2,float,2048,5,0.999307,0.870898,0.930692
NF-UNSW-NB15-v2,float,2048,9,0.998929,0.953472,0.975671
NF-UNSW-NB15-v2,float,2048,13,0.998720,0.966592,0.982393
NF-UNSW-NB15-v2,integer,32,5,0.999093,0.875518,0.933230
NF-UNSW-NB15-v2,integer,32,9,0.998372,0.968551,0.983235
NF-UNSW-NB15-v2,integer,32,13,0.998190,0.974420,0.986161
NF-UNSW-NB15-v2,integer,64,5,0.999154,0.881266,0.936513
NF-UNSW-NB15-v2,integer,64,9,0.998619,0.965484,0.981771
NF-UNSW-NB15-v2,integer,64,13,0.998505,0.969945,0.984017
NF-UNSW-NB15-v2,integer,128,5,0.999251,0.897815,0.945820
NF-UNSW-NB15-v2,integer,128,9,0.998651,0.963525,0.980773
NF-UNSW-NB15-v2,integer,128,13,0.998552,0.970086,0.984113
NF-UNSW-NB15-v2,integer,256,5,0.999206,0.904787,0.949654
NF-UNSW-NB15-v2,integer,256,9,0.998788,0.958128,0.978035
NF-UNSW-NB15-v2,integer,256,13,0.998644,0.966905,0.982518
NF-UNSW-NB15-v2,integer,512,5,0.999199,0.900877,0.947492
NF-UNSW-NB15-v2,integer,512,9,0.998840,0.952878,0.975317
NF-UNSW-NB15-v2,integer,512,13,0.998663,0.967153,0.982655
NF-UNSW-NB15-v2,integer,1024,5,0.999246,0.866826,0.928335
NF-UNSW-NB15-v2,integer,1024,9,0.998886,0.952452,0.975116
NF-UNSW-NB15-v2,integer,1024,13,0.998696,0.965984,0.982067
NF-UNSW-NB15-v2,integer,2048,5,0.999243,0.868221,0.929133
NF-UNSW-NB15-v2,integer,2048,9,0.998886,0.952700,0.975245
NF-UNSW-NB15-v2,integer,2048,13,0.998700,0.966264,0.982214
