dataset,mode,num_leaves,n_estimators,precision,recall,f1_score
NF-ToN-IoT-v2,integer,2048,9,0.968972,0.996663,0.982622
NF-ToN-IoT-v2,integer,2048,13,0.969961,0.996280,0.982944
NF-UNSW-NB15-v2,float,32,5,0.999066,0.849188,0.918047
NF-UNSW-NB15-v2,float,32,9,0.998292,0.968583,0.983213
NF-UNSW-NB15-v2,float,32,13,0.998172,0.973125,0.985489
NF-UNSW-NB15-v2,float,64,5,0.999202,0.870564,0.930456
NF-UNSW-NB15-v2,float,64,9,0.998543,0.963579,0.980749
NF-UNSW-NB15-v2,float,64,13,0.998460,0.970222,0.984138
NF-UNSW-NB15-v2,float,128,5,0.999229,0.888571,0.940655
NF-UNSW-NB15-v2,float,128,9,0.998702,0.961368,0.979679
NF-UNSW-NB15-v2,float,128,13,0.998511,0.970677,0.984396
NF-UNSW-NB15-v2,float,256,5,0.999216,0.907407,0.951100
NF-UNSW-NB15-v2,float,256,9,0.998793,0.959043,0.978514
NF-UNSW-NB15-v2,float,256,13,0.998583,0.969898,0.984031
NF-UNSW-NB15-v2,float,512,5,0.999215,0.904618,0.949565
NF-UNSW-NB15-v2,float,512,9,0.998874,0.953899,0.975868
NF-UNSW-NB15-v2,float,512,13,0.998616,0.968097,0.983119
NF-UNSW-NB15-v2,float,1024,5,0.999293,0.869074,0.929643
NF-UNSW-NB15-v2,float,1024,9,0.998896,0.951133,0.974429
NF-UNSW-NB15-v2,float,1024,13,0.998630,0.967190,0.982658
NF-UNSW-NB15-v2,float,2048,5,0.999284,0.870304,0.930342
NF-UNSW-NB15-v2,float,2048,9,0.998876,0.952965,0.975380
NF-UNSW-NB15-v2,float,2048,13,0.998637,0.966914,0.982519
NF-UNSW-NB15-v2,integer,32,5,0.999062,0.866720,0.928195
NF-UNSW-NB15-v2,integer,32,9,0.998366,0.966121,0.981978
NF-UNSW-NB15-v2,integer,32,13,0.998116,0.974566,0.986200
NF-UNSW-NB15-v2,integer,64,5,0.999242,0.875702,0.933400
NF-UNSW-NB15-v2,integer,64,9,0.998547,0.966741,0.982386
NF-UNSW-NB15-v2,integer,64,13,0.998427,0.971883,0.984976
NF-UNSW-NB15-v2,integer,128,5,0.999207,0.898011,0.945908
NF-UNSW-NB15-v2,integer,128,9,0.998688,0.964363,0.981225
NF-UNSW-NB15-v2,integer,128,13,0.998540,0.970547,0.984344
NF-UNSW-NB15-v2,integer,256,5,0.999226,0.910229,0.952652
NF-UNSW-NB15-v2,integer,256,9,0.998836,0.958875,0.978447
NF-UNSW-NB15-v2,integer,256,13,0.998656,0.969953,0.984095
NF-UNSW-NB15-v2,integer,512,5,0.999239,0.900641,0.947380
NF-UNSW-NB15-v2,integer,512,9,0.998874,0.956164,0.977052
NF-UNSW-NB15-v2,integer,512,13,0.998661,0.968241,0.983215
NF-UNSW-NB15-v2,integer,1024,5,0.999281,0.866038,0.927898
NF-UNSW-NB15-v2,integer,1024,9,0.998936,0.952136,0.974974
NF-UNSW-NB15-v2,integer,1024,13,0.998692,0.967148,0.982666
NF-UNSW-NB15-v2,integer,2048,5,0.999289,0.868043,0.929051
NF-UNSW-NB15-v2,integer,2048,9,0.998936,0.952173,0.974993
NF-UNSW-NB15-v2,integer,2048,13,0.998669,0.966747,0.982448
